Filename,ImageScore,Reasoning,RA,Dec,AnomalyScore,URL,volunteer_rating
69577667036340410.png,45,"This is a galaxy exhibiting a strong gravitational lensing arc, indicating the presence of a massive foreground object distorting background light.",222.7350819843621,42.645434844819654,414.76147,https://panoptes-uploads.zooniverse.org/subject_location/1b150ff9-9cf4-4a77-94ce-5000f958650c.png,0.6154000000000001
41219462564709085.png,43,"This is a ring galaxy exhibiting a distinct, detached outer ring structure, which is a classic morphological signature of a collisional ring galaxy event.",215.71399777419867,-1.051677705643676,309.34647,https://panoptes-uploads.zooniverse.org/subject_location/744d60cd-ce90-4355-9af4-2f04f6b86463.png,0.5238
69564348342751692.png,42,"This is a merging galaxy system exhibiting significant tidal distortion and a prominent, curved tidal tail, indicative of a strong gravitational interaction.",216.9481912354303,43.1236015996769,398.5995,https://panoptes-uploads.zooniverse.org/subject_location/2560b9b1-cdbb-4116-8484-c43ffcd13a97.png,0.31579999999999997
70369444257368793.png,41,"This is a ring galaxy exhibiting a distinct, symmetric ring structure surrounding a central nucleus, indicative of a collisional ring galaxy formation event.",225.4365114358376,43.789472739336325,399.0994,https://panoptes-uploads.zooniverse.org/subject_location/9998c98f-cfc4-42a8-8a77-e4ea85535f77.png,0.6667000000000001
69635253957858571.png,41,"This is a merging galaxy system exhibiting significant tidal disruption and a diffuse, extended stellar halo, characteristic of an ongoing galactic interaction.",247.90084150108325,42.62511634704743,426.76434,https://panoptes-uploads.zooniverse.org/subject_location/27c15f3e-689d-45de-aa59-53ef13dd1df3.png,0.3333
41227726081784551.png,40,"This is a merging galaxy system exhibiting significant tidal distortion and morphological disruption, characteristic of a strong gravitational interaction.",219.38828566318992,-0.2771436520747501,396.70587,https://panoptes-uploads.zooniverse.org/subject_location/6938c294-dbe4-4030-a8cf-076e42c26629.png,0.4783
70342656546334671.png,40,"This is a merging galaxy system exhibiting a prominent tidal bridge of stellar material connecting the two primary components, indicative of a significant gravitational interaction.",214.18523378636039,44.322087303346485,330.07498,https://panoptes-uploads.zooniverse.org/subject_location/a66576c3-62d1-46a1-9893-dc3ec9364231.png,0.5909000000000001
41214952849044727.png,40,"This is a merging galaxy exhibiting a prominent, elongated tidal tail, indicating a significant gravitational interaction.",214.46294291817702,-0.05697357692789032,209.87526,https://panoptes-uploads.zooniverse.org/subject_location/dede59e5-9dd3-40a1-9589-6b3311677828.png,0.7083
41192936846682523.png,40,"This is a merging galaxy system exhibiting significant tidal distortion and a bridge-like structure connecting multiple galactic nuclei, indicative of a complex ongoing gravitational interaction.",207.0387333229612,-1.1312227838880773,254.88937,https://panoptes-uploads.zooniverse.org/subject_location/057269bd-9012-473b-8b1c-f68c7242c989.png,0.5417000000000001
69621230889630813.png,40,"This is a merging galaxy system exhibiting significant tidal distortion and a clear interaction bridge between the two galactic nuclei, indicating a major ongoing merger event.",243.5323468392677,42.43141442243715,399.15015,https://panoptes-uploads.zooniverse.org/subject_location/6ac78f60-6fa5-48e6-816d-f5d6533f2841.png,0.8621
69586471719295483.png,40,"This is an interacting galaxy system exhibiting clear tidal distortion and a bridge-like structure between the primary spiral and its companion, indicative of an ongoing gravitational merger.",226.79058695705774,42.869982511322654,410.7834,https://panoptes-uploads.zooniverse.org/subject_location/68f92e26-3c05-416b-bd84-06dacac897c4.png,0.7143
69635253957858570.png,40,"This is a complex galaxy cluster or group containing multiple interacting members with visible tidal tails and distorted morphologies, indicating a high-density environment with significant dynamical activity.",247.90085052502093,42.622886671926516,381.77472,https://panoptes-uploads.zooniverse.org/subject_location/6d023635-2549-461b-9cbc-0af31fa10e56.png,0.3333
70347028823040378.png,40,"This is a merging galaxy system exhibiting complex, disturbed shell-like structures and tidal debris, indicative of a significant recent gravitational interaction.",216.16049652042213,43.1564949065581,396.91077,https://panoptes-uploads.zooniverse.org/subject_location/78e7e096-af10-4ecd-8146-c5acd4ae24d1.png,0.8695999999999999
40154465294116619.png,40,"This is a merging galaxy system exhibiting clear tidal distortion and interaction features, indicating a significant gravitational encounter between two galactic bodies.",217.5507803938403,-1.8032972423384486,400.799,https://panoptes-uploads.zooniverse.org/subject_location/8fa1b929-e411-48cd-96ea-93a27bbec667.png,0.4615
41228262952689799.png,40,"This is a merging galaxy system exhibiting significant tidal distortion and a prominent, elongated tidal tail, indicating a strong gravitational interaction.",218.6639850698807,-1.0177730472238642,388.9166,https://panoptes-uploads.zooniverse.org/subject_location/6ebd131d-8d29-45d7-8896-5d5abe962cf2.png,0.2963
41218629341044885.png,40,"This is a merging galaxy system exhibiting significant tidal distortion and multiple interacting components, indicative of an ongoing galactic collision.",216.78795776416266,-1.4851692933340743,262.4679,https://panoptes-uploads.zooniverse.org/subject_location/4def01d6-3c63-465e-a5ba-6bda1e27314d.png,0.13640000000000002
69621793530342751.png,39,"This is a merging galaxy system exhibiting significant tidal distortion and a warped spiral arm, indicating a strong gravitational interaction between two galaxies.",242.34767592849266,42.9450429655493,445.4536,https://panoptes-uploads.zooniverse.org/subject_location/a30e5a79-9fa1-4efb-94b9-a113716f1ba9.png,0.6389
41218938578697491.png,39,"This is a merging galaxy system exhibiting clear tidal interaction and morphological distortion, indicating a significant gravitational encounter.",216.56618439411537,-0.02308271894376519,550.65265,https://panoptes-uploads.zooniverse.org/subject_location/44f3f28e-1ed2-47cb-bfd5-10b8d3bcc69a.png,0.23809999999999998
69621647501458799.png,39,"This is a merging galaxy system displaying a complex, multi-nucleated structure and diffuse tidal debris, characteristic of an advanced-stage galactic merger.",242.7337112178377,42.65517756985017,400.68542,https://panoptes-uploads.zooniverse.org/subject_location/cfe8662f-24b3-4714-abcd-8c2a1ae1c88a.png,0.2917
70342647956378597.png,39,"This is a merging galaxy system exhibiting significant tidal distortion and a bridge-like structure between two interacting galactic nuclei, indicative of an ongoing major merger event.",214.05608528899901,43.929961460025005,291.932,https://panoptes-uploads.zooniverse.org/subject_location/eff15cb7-696f-46ed-99bd-ea85dee2da3f.png,0.09519999999999999
41231836365483821.png,39,"This is an interacting galaxy system exhibiting a bright central core with a distinct, elongated tidal feature or secondary component, indicative of an ongoing galactic merger.",221.3256620131744,-0.990545422576538,400.27814,https://panoptes-uploads.zooniverse.org/subject_location/9c365e84-49dd-4a45-ab8c-11d1bcd52864.png,0.2258
41223469769194486.png,38,"This is a merging galaxy system exhibiting significant morphological distortion and asymmetric tidal features, indicative of an ongoing galactic interaction.",217.6995138514174,-0.17473425929939446,460.7844,https://panoptes-uploads.zooniverse.org/subject_location/e4b0432a-a720-48ea-8d77-1c5423bd0cf3.png,0.6667000000000001
70342493337577420.png,38,"This is a compact galaxy group or merging system exhibiting multiple luminous, clumpy star-forming regions within a shared envelope, indicative of a complex interaction.",214.3370564673155,43.160749131161516,414.64127,https://panoptes-uploads.zooniverse.org/subject_location/95d6f813-45b6-4d99-afe9-bfccbb460ae7.png,0.3636
69573681306688518.png,38,"This is a merging galaxy system exhibiting multiple nuclei and distorted tidal features, indicating a significant ongoing gravitational interaction.",220.0450369909192,42.60480447868649,273.70746,https://panoptes-uploads.zooniverse.org/subject_location/019336ad-0e89-49f6-ae4d-3a268fa14cb8.png,0.0526
41223328035267506.png,37,"This is a merging galaxy system exhibiting significant tidal distortion and multiple nuclei, indicating a complex ongoing interaction between two massive galaxies.",217.97669997291496,-0.3994049206911091,287.77768,https://panoptes-uploads.zooniverse.org/subject_location/0eb6268f-b292-4cce-bc92-74c4609e4f3d.png,0.2727
70369173674420820.png,37,"This is a merging galaxy system exhibiting significant morphological distortion and multiple interacting components, indicative of a complex ongoing galactic collision.",225.98559592300973,43.871026526335626,413.289,https://panoptes-uploads.zooniverse.org/subject_location/5cba4809-f90b-4b39-a2af-c78583ce6464.png,0.4828
69594980049515032.png,37,"This is a clumpy, irregular galaxy system displaying multiple luminous star-forming regions, characteristic of a high-redshift or post-merger starburst event.",231.28795288745124,42.46444187393219,445.83365,https://panoptes-uploads.zooniverse.org/subject_location/0cec4af9-e47c-4c7d-8158-ad8cd36dcbc4.png,0.2143
